sid,container,liquid,fill,liquid_height_cm,fov,eye_z,width,height,liquid_area_frac,surface_area_frac,gt_row_near,gt_row_far,gt_row_analytic,gt_row_far_analytic,gt_analytic_vs_render_px,cm_per_px,frac_gt_2d,est_row_gradient,err_px_gradient,est_row_step,err_px_step,est_row,err_px,frac_est_2d,err_frac_2d,err_mm
s000,cylinder,oil,0.8513168386995108,6.9483948409943865,23.39745784966679,12.953387075149305,640,480,0.19039713541666667,0.022724609375,152.4645010828972,116.0,152.68825199954765,115.89381811212264,-0.22375091665045943,0.02684847866027339,0.7682088780167856,152.1151123046875,-0.3493887782096863,152.3137664794922,-0.15073460340499878,152.3137664794922,-0.15073460340499878,0.7687047155279862,0.0004958375112006363,-0.04046994782883882
s001,box,milk_dilute,0.8350241618931146,9.38639716890255,31.666063677707587,13.879005657323885,640,480,0.14461263020833334,0.007516276041666666,173.66575080156326,161.0,173.97192226299507,161.06145460400452,-0.30617146143180207,0.039030794944397075,0.8101883652723498,370.2189636230469,196.5532128214836,370.9659423828125,197.30019158124924,370.9659423828125,197.30019158124924,0.12511825561523438,-0.6850701096571155,77.00783320097997
s002,cylinder,milk_dilute,0.7394401180837206,6.1913967782323045,22.629842742611995,17.191060803152027,640,480,0.20171223958333334,0.046995442708333335,224.86228716373444,151.0,225.28205754643724,151.5131187322001,-0.41977038270280786,0.023586161851858144,0.6060217262993396,148.0,-76.86228716373444,148.0,-76.86228716373444,148.0,-76.86228716373444,0.8225352112676056,0.21651348496826606,-18.128863453478388
s003,box,tea,0.8635804123506017,8.456074287688223,31.63838545973801,17.548761959563727,640,480,0.13896484375,0.0210546875,169.3226197063923,126.0,169.5117982095635,126.67015741589165,-0.1891785031712061,0.030889205948713822,0.7466163416202136,234.14012145996094,64.81750175356865,315.4527893066406,146.13016960024834,315.4527893066406,146.13016960024834,0.28563788862258477,-0.46097845299762885,45.13844904102551
s004,cylinder,milk_dilute,0.770032460368073,7.13680513986896,23.495503330482617,13.184406785664201,640,480,0.2677083333333333,0.03512369791666667,146.40181222558022,92.0,146.55030311135334,91.92152104577885,-0.1484908857731284,0.020369642617653425,0.6958201929108128,354.7388610839844,208.33704885840416,355.4894104003906,209.0875981748104,355.4894104003906,209.0875981748104,0.23628701010903158,-0.4595331828017812,42.59039650604413
s005,box,milk_dilute,0.7935682107565484,7.5906261118955705,31.96257839353573,19.431813642602627,640,480,0.08595377604166667,0.012672526041666667,201.46496295928955,172.0,201.88424505447975,172.25241492040024,-0.4192820951901979,0.04213737533453084,0.6983922336595174,199.88893127441406,-1.5760316848754883,201.2015380859375,-0.2634248733520508,201.2015380859375,-0.2634248733520508,0.699552695656663,0.0011604619971455898,-0.11100032760886615
s006,cylinder,milk_dilute,0.28414992253195925,2.826091709478312,23.00607520216096,13.618002231847223,640,480,0.09686848958333333,0.03386393229166667,348.76931089162827,288.0,349.14084256929067,288.29349428186663,-0.3715316776624036,0.026735959160958785,0.282878196527881,413.9183654785156,65.14905458688736,301.6214599609375,-47.147850930690765,301.6214599609375,-47.147850930690765,0.40961973128780244,0.12674153475992145,-12.60543017009921
s007,box,milk_dilute,0.613399924325625,7.1400144128109915,22.21636509855024,16.649081589292898,640,480,0.22000651041666666,0.03666015625,199.6105706691742,146.0,200.16634777763656,146.49564546274098,-0.5557771084623653,0.026098798338107982,0.5569269715937798,163.04957580566406,-36.56099486351013,160.97543334960938,-38.63513731956482,160.97543334960938,-38.63513731956482,0.6435528400232974,0.08662586842951758,-10.083306576684318
s008,cylinder,tea,0.4375198188521265,4.901528563449888,27.036365052098873,14.763224728199035,640,480,0.20041341145833333,0.06215494791666667,289.36660474538803,199.0,289.49273921372605,199.2578520043541,-0.126134468338023,0.024144367158225696,0.3828305932211465,288.1166687011719,-1.249936044216156,287.97247314453125,-1.394131600856781,287.97247314453125,-1.394131600856781,0.38583518718851023,0.0030045939673637445,-0.3366042523797108
s009,box,tea,0.22231666912187287,2.0973846341093223,24.506873392851116,11.736241716450992,640,480,0.090087890625,0.03272135416666667,343.38680440187454,278.0,343.5234260260803,277.70709067651933,-0.13662162420575896,0.02695491772927545,0.23603770170892988,245.7471923828125,-97.63961201906204,273.0158386230469,-70.37096577882767,273.0158386230469,-70.37096577882767,0.4370976039341518,0.20105990222522194,-18.96843593097958
s010,cylinder,oil,0.34161464084017373,3.2930358647854088,25.359165544734605,13.523753251827152,640,480,0.115830078125,0.038994140625,328.4473741352558,260.0,328.62429437714286,260.1041747815553,-0.17692024188704636,0.025234611472853972,0.3208183923160843,292.18194580078125,-36.265428334474564,328.6077880859375,0.1604139506816864,328.6077880859375,0.1604139506816864,0.320398460508017,-0.00041993180806726427,0.04047983720277915
s011,box,oil,0.7971704799063842,8.32289236853989,28.98582688975347,18.60754470305733,640,480,0.21796875,0.04083333333333333,183.71198666095734,114.0,184.45550029058487,114.04983724751459,-0.7435136296275289,0.027048037868080202,0.6587772366296442,182.3738250732422,-1.338161587715149,121.0,-62.711986660957336,121.0,-62.711986660957336,0.8212435233160622,0.16246628668641805,-16.962361899881145
